,title,author,address,booktitle,note,year,volume,number,pages,pages,abstract,ISSN,ISBNs,doi,Funding Information,PDF Link,Author Keywords,IEEE Terms,keywords,series,series,series,note,note,note,note,publisher,ID
20,Together or Apart? Investigating a mediator bot to aggregate bot’s comments on pull requests,E. Ribeiro; R. Nascimento; I. Steinmacher; L. Xavier; M. Gerosa; H. de Paula; M. Wessel,"Pontifical Catholic University of Minas Gerais, Brazil; Pontifical Catholic University of Minas Gerais, Brazil; Northern Arizona University, USA; Pontifical Catholic University of Minas Gerais, Brazil; Pontifical Catholic University of Minas Gerais, Brazil; Pontifical Catholic University of Minas Gerais, Brazil; Radboud University, The Netherlands",2022 IEEE International Conference on Software Maintenance and Evolution (ICSME),19 Dec 2022,2022,,,434,438,"Software bots connect users and tools, streamlining the pull request review process in social coding platforms. However, bots can introduce information overload into developers’ communication. Information overload is especially problematic for newcomers, who are still exploring the project and may feel overwhelmed by the number of messages. Inspired by the literature of other domains, we designed and evaluated FunnelBot, a bot that acts as a mediator between developers and other bots in the repository. We conducted a within-subject study with 25 newcomers to capture their perceptions and preferences. Our results provide insights for bot developers who want to mitigate noise and create bots for supporting newcomers, laying a foundation for designing better bots.",2576-3148,978-1-6654-7956-1,10.1109/ICSME55016.2022.00054,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978219,Software Bots;GitHub Bots;Open Source Software;Software Engineering,Software maintenance;Aggregates;Chatbots;Encoding;Software development management,,1.0,,15.0,IEEE,19 Dec 2022,,,IEEE,IEEE Conferences
21,Classifying Issues into Custom Labels in GitBot,D. Park; H. Cho; S. Lee,"Department of AI Convergence Engineering, Gyeongsang National University, Jinju, Republic of Korea; Department of AI Convergence Engineering, Gyeongsang National University, Jinju, Republic of Korea; Department of AI Convergence Engineering, Gyeongsang National University, Jinju, Republic of Korea",2022 IEEE/ACM 4th International Workshop on Bots in Software Engineering (BotSE),8 Jul 2022,2022,,,28,32,"GitBots are bots in Git repositories to automate repetitive tasks that occur in software development, testing and maintenance. Git-Bots are expected to perform the repetitive tasks that are normally done by humans, such as feedback on issue reports and answers to questions. However, studies on GitBots for labeling issue reports fall short of replacing developers' labeling tasks. Developers still manually attach labels to issues. In this paper, we introduce an issue labeling bot classifying issue reports into custom labels that developers define by themselves so that our bot could attach labels in a similar way to human behavior.",,978-1-4503-9333-1,10.1145/3528228.3528404,National Research Foundation of Korea (NRF)(grant numbers:NRF-2021R1A2C1094167); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9814612,Classification;FastText;Custom label;GitBot;Issue report,Bot (Internet);Conferences;Maintenance engineering;Software;Software reliability;Behavioral sciences;Labeling,,3.0,,24.0,,8 Jul 2022,,,IEEE,IEEE Conferences
22,"Bots for Pull Requests: The Good, the Bad, and the Promising",M. Wessel; A. Abdellatif; I. Wiese; T. Conte; E. Shihab; M. A. Gerosa; I. Steinmacher,"Delft University of Technology, Netherlands; Concordia University, Canada; Universidade Tecnologica Federal do Parana, Brazil; Federal University of Amazonas, Brazil; Concordia University, Canada; Northern Arizona University, USA; Universidade Tecnologica Federal do Parana, Brazil",2022 IEEE/ACM 44th International Conference on Software Engineering (ICSE),20 Jun 2022,2022,,,274,286,"Software bots automate tasks within Open Source Software (OSS) projects' pull requests and save reviewing time and effort (“the good”). However, their interactions can be disruptive and noisy and lead to information overload (“the bad”). To identify strategies to overcome such problems, we applied Design Fiction as a participatory method with 32 practitioners. We elicited 22 design strategies for a bot mediator or the pull request user interface (“the promising”). Participants envisioned a separate place in the pull request interface for bot interactions and a bot mediator that can summarize and customize other bots' actions to mitigate noise. We also collected participants' perceptions about a prototype implementing the envisioned strategies. Our design strategies can guide the development of future bots and social coding platforms.",1558-1225,978-1-4503-9221-1,10.1145/3510003.3512765,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793907,Software Bots;GitHub Bots;Human-bot Interaction;Open Source Software;Automation;Collaborative Development;Design Fiction,Bot (Internet);Prototypes;User interfaces;Encoding;Noise measurement;Task analysis;Open source software,,6.0,,69.0,CCBY,20 Jun 2022,,,IEEE,IEEE Conferences
23,Improving Feedback on GitHub Pull Requests: A Bots Approach,Z. Hu; E. F. Gehringer,"Department of Computer Science, North Carolina State University, Raleigh, USA; Department of Computer Science, North Carolina State University, Raleigh, USA",2019 IEEE Frontiers in Education Conference (FIE),12 Mar 2020,2019,,,1,9,"Rising enrollments make it difficult for instructors and teaching assistants to give adequate feedback on each student's work. Our course projects require students to submit GitHub pull requests as deliverables for their open-source software (OSS) projects. We have set up a static code analyzer and a continuous integration service on GitHub to help students check different aspects of the code. However, these tools have some limitations. In this paper, we discuss how we bypass the limitations of existing tools by implementing three Internet bots. These bots are either open source or free for OSS projects and can be easily integrated with any GitHub repositories. One-hundred one Computer Science and Computer Engineering masters students participated in our study. The survey results showed that more than 84% of students thought bots can help them to contribute code with better quality. We analyzed 396 pull requests. Results revealed that bots can provide more timely feedback than teaching staff. The Danger Bot is associated with a significant reduction system-specific guideline violations (by 39%), and the Code Climate Bot is associated with a significant 60% decrease of code smells in student contributions. However, we found that the Travis CI Bot did not help student contributions pass automated tests.",2377-634X,978-1-7281-1746-1,10.1109/FIE43999.2019.9028685,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028685,Internet bots;open-source software;software engineering;open-source curriculum;automated feedback;Expertiza,Tools;Bot (Internet);Meteorology;Guidelines;Education;Programming,,6.0,,17.0,IEEE,12 Mar 2020,,,IEEE,IEEE Conferences
24,Effects of Adopting Code Review Bots on Pull Requests to OSS Projects,M. Wessel; A. Serebrenik; I. Wiese; I. Steinmacher; M. A. Gerosa,"University of São Paulo, Brazil; Eindhoven University of Technology, The Netherlands; Universidade Tecnológica Federal do Paraná, Campo Mourão, Brazil; Universidade Tecnológica Federal do Paraná, Campo Mourão, Brazil; Northern Arizona University, USA",2020 IEEE International Conference on Software Maintenance and Evolution (ICSME),2 Nov 2020,2020,,,1,11,"Software bots, which are widely adopted by Open Source Software (OSS) projects, support developers on several activities, including code review. However, as with any new technology adoption, bots may impact group dynamics. Since understanding and anticipating such effects is important for planning and management, we investigate how several activity indicators change after the adoption of a code review bot. We employed a regression discontinuity design on 1,194 software projects from GitHub. Our results indicate that the adoption of code review bots increases the number of monthly merged pull requests, decreases monthly non-merged pull requests, and decreases communication among developers. Practitioners and maintainers may leverage our results to understand, or even predict, bot effects on their projects' social interactions.",2576-3148,978-1-7281-5619-4,10.1109/ICSME46990.2020.00011,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240622,Software Bots;GitHub Bots;Code Review;Open Source Software;Software Engineering,Bot (Internet);Software maintenance;Encoding;Data models;Planning;Open source software;Software development management,,31.0,,41.0,IEEE,2 Nov 2020,,,IEEE,IEEE Conferences
25,Understanding the Impact of Bots on Developers Sentiment and Project Progress,A. Gao; S. Chen; T. Wang; J. Deng,"College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China",2022 IEEE 13th International Conference on Software Engineering and Service Science (ICSESS),31 Oct 2022,2022,,,93,96,"Software developers advance the project process by contributing and discussing on the code platform. Software bot acts as an assistant to help developers deal with repetitive tasks. In this paper, we explore whether the adoption of bots has an impact on developer sentiment and projects progress. We collected issues, pull requests and comments from GitHub popular projects. And we found that human users had significantly reduced positive sentiment in bot-created issues and PRs. The average merging time of the bot-created PRs is significantly shorter than human-created ones. The average solving time of bot-commented issues is significantly longer than human-created ones.",2327-0594,978-1-6654-1032-8,10.1109/ICSESS54813.2022.9930282,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9930282,Software Engineering;Software Bots;Sentiment Analysis,Sentiment analysis;Codes;Merging;Chatbots;Software;Behavioral sciences;Task analysis,,,,10.0,IEEE,31 Oct 2022,,,IEEE,IEEE Conferences
26,BDGOA: A bot detection approach for GitHub OAuth Apps,Z. Liao; X. Huang; B. Zhang; J. Wu; Y. Cheng,"School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Artificial Intelligence, Guilin University of Electronic Technology, Guilin, China; Hunan Glozeal Science and Technology Co., Ltd., Changsha, China",Intelligent and Converged Networks,16 Oct 2023,2023,4.0,3.0,181,197,"As various software bots are widely used in open source software repositories, some drawbacks are coming to light, such as giving newcomers non-positive feedback and misleading empirical studies of software engineering researchers. Several techniques have been proposed by researchers to perform bot detection, but most of them are limited to identifying bots performing specific activities, let alone distinguishing between GitHub App and OAuth App. In this paper, we propose a bot detection technique for OAuth App, named BDGOA. 24 features are used in BDGOA, which can be divided into three dimensions: account information, account activity, and text similarity. To better explore the behavioral features, we define a fine-grained classification of behavioral events and introduce self-similarity to quantify the repeatability of behavioral sequence. We leverage five machine learning classifiers on the benchmark dataset to conduct bot detection, and finally choose random forest as the classifier, which achieves the highest F1-score of 95.83%. The experimental results comparing with the state-of-the-art approaches also demonstrate the superiority of BDGOA.",2708-6240,,10.23919/ICN.2023.0006,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286551,Github;DevBots;machine learning;text similarity,Stability criteria;Stars;Benchmark testing;Chatbots;Feature extraction;Robustness;Behavioral sciences,,,,30.0,,16 Oct 2023,,,TUP,TUP Journals
27,Recognizing Bot Activity in Collaborative Software Development,M. Golzadeh; T. Mens; A. Decan; E. Constantinou; N. Chidambaram,University of Mons; University of Mons; University of Mons; Eindhoven University of Technology; University of Mons,IEEE Software,23 Aug 2022,2022,39.0,5.0,56,61,"Using popular open source projects on GitHub, we provide evidence that bots are regularly among the most active contributors, even though GitHub does not explicitly acknowledge their presence. This poses a problem for techniques that analyze human contributor activity.",1937-4194,,10.1109/MS.2022.3178601,"DigitalWallonia4.AI research project ARIAC(grant numbers:2010235); Fonds de la Recherche Scientifique–FNRS(grant numbers:O.0157.18F-RG43,T.0017.18); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9782582,machine account;bot identification;contributor activity;developer contribution,Software development management;Bot (Internet);Task analysis;Open source software;Software engineering;Manuals;Encoding,,2.0,,21.0,IEEE,26 May 2022,,,IEEE,IEEE Magazines
28,"Human, bot or both? A study on the capabilities of classification models on mixed accounts",N. Cassee; C. Kitsanelis; E. Constantinou; A. Serebrenik,"Eindhoven University of Technology, The Netherlands; Eindhoven University of Technology, The Netherlands; Eindhoven University of Technology, The Netherlands; Eindhoven University of Technology, The Netherlands",2021 IEEE International Conference on Software Maintenance and Evolution (ICSME),24 Nov 2021,2021,,,654,658,"Several bot detection algorithms have recently been discussed in the literature, as software bots that perform maintenance tasks have become more popular in recent years. State-of-the-art techniques detect bots based on a binary classification, where a GitHub account is either a human or a bot. However, this conceptualisation of bot detection as an account-level binary classification problem fails to account for ‘mixed accounts’, accounts that are shared between a human and a bot, and that therefore exhibit both bot and human activity. By using binary classification models for bot detection, researchers might hence mischaracterize both human and bot behavior in software maintenance. This calls for conceptualisation of bot detection through a comment-level classification. However, the single such approach solely investigates a small number of mixed account comments. The nature of mixed accounts on GitHub is thus yet unknown, and the absence of appropriate datasets make this a difficult problem to study. In this paper, we investigate three comment-level classification models and we evaluate these classifiers on a manually labeled dataset of mixed accounts. We find that the best classifiers based on these classification models achieve a precision and recall between 88% and 96%. However, even the most accurate comment-level classifier cannot accurately detect mixed accounts; rather, we find that textual content alone, or textual content combined with templates used by bots, are very effective features for the detection of both bot and mixed accounts. Our study calls for more accurate bot detection techniques capable of identifying mixed accounts, and as such supporting more refined insights in software maintenance activities performed by humans and bots on social coding sites.",2576-3148,978-1-6654-2882-8,10.1109/ICSME52107.2021.00075,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9609135,bot identification;classification model;social coding platforms;GitHub;software engineering,Bot (Internet);Software maintenance;Software algorithms;Maintenance engineering;Feature extraction;Reliability engineering;Encoding,,3.0,,29.0,IEEE,24 Nov 2021,,,IEEE,IEEE Conferences
29,Interactive Refactoring Documentation Bot,S. Rebai; O. Ben Sghaier; V. Alizadeh; M. Kessentini; M. Chater,"CIS Department, University of Michigan, Dearborn, Michigan, USA; CIS Department, University of Michigan, Dearborn, MI, USA; CIS Department, University of Michigan, Dearborn, Michigan, USA; CIS Department, University of Michigan, Dearborn, Michigan, USA; CIS Department, University of Michigan, Dearborn, Michigan, USA",2019 19th International Working Conference on Source Code Analysis and Manipulation (SCAM),12 Dec 2019,2019,,,152,162,"The documentation of code changes is significantly important but developers ignore it, most of the time, due to the pressure of the deadlines. While developers may document the most important features modification or bugs fixing, recent empirical studies show that the documentation of quality improvements and/or refactoring is often omitted or not accurately described. However, the automated or semi-automated documentation of refactorings has not been yet explored despite the extensive work on the remaining steps of refactoring including the detection, prioritization and recommendation. In this paper, we propose a semi-automated refactoring documentation bot that helps developers to interactively check and validate the documentation of the refactorings and/or quality improvements at the file level for each opened pull-request before being reviewed or merged to the master. The bot starts by checking the pullrequest if there are significant quality changes and refactorings at the file level and whether they are documented by the developer. Then, it checks the validity of the developers description of the refactorings, if any. Based on that analysis, the documentation bot will recommend a message to document the refactorings, their locations and the quality improvement for that pull-request when missing information is found. Then, the developer can modify his pull request description by interacting with the bot to accept/modify/reject part of the proposed documentation. Since refactoring do not happen in isolation most of the time, the bot is documenting the impact of a sequence of refactorings, in a pull-request, on quality and not each refactoring in isolation. We conducted a human survey with 14 active developers to manually evaluate the relevance and the correctness of our tool on different pull requests of 5 open source projects and one industrial system. The results show that the participants found that our bot facilitates the documentation of their quality-related changes and refactorings.",2470-6892,978-1-7281-4937-0,10.1109/SCAM.2019.00026,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8930873,Intelligent bot;refactoring;documentation,Documentation;Measurement;Feature extraction;Tools;Software;Couplings;Security,,4.0,,49.0,IEEE,12 Dec 2019,,,IEEE,IEEE Conferences
30,FixMe: A GitHub Bot for Detecting and Monitoring On-Hold Self-Admitted Technical Debt,S. Phaithoon; S. Wongnil; P. Pussawong; M. Choetkiertikul; C. Ragkhitwetsagul; T. Sunetnanta; R. Maipradit; H. Hata; K. Matsumoto,"Faculty of Information and Communication Technology (ICT), Mahidol University, Nakhon Pathom, Thailand; Faculty of Information and Communication Technology (ICT), Mahidol University, Nakhon Pathom, Thailand; Faculty of Information and Communication Technology (ICT), Mahidol University, Nakhon Pathom, Thailand; Faculty of Information and Communication Technology (ICT), Mahidol University, Nakhon Pathom, Thailand; Faculty of Information and Communication Technology (ICT), Mahidol University, Nakhon Pathom, Thailand; Faculty of Information and Communication Technology (ICT), Mahidol University, Nakhon Pathom, Thailand; Nara Institute of Science and Technology (NAIST), Nara, Japan; Shinshu University, Nagano, Japan; Faculty of Information and Communication Technology (ICT), Mahidol University, Nakhon Pathom, Thailand",2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),20 Jan 2022,2021,,,1257,1261,"Self-Admitted Technical Debt (SATD) is a special form of technical debt in which developers intentionally record their hacks in the code by adding comments for attention. Here, we focus on issue-related ""On-hold SATD"", where developers suspend proper implementation due to issues reported inside or outside the project. When the referenced issues are resolved, the On-hold SATD also need to be addressed, but since monitoring these issue reports takes a lot of time and effort, developers may not be aware of the resolved issues and leave the On-hold SATD in the code. In this paper, we propose FixMe, a GitHub bot that helps developers detecting and monitoring On-hold SATD in their repositories and notify them whenever the On-hold SATDs are ready to be fixed (i.e. the referenced issues are resolved). The bot can automatically detect On-hold SATD comments from source code using machine learning techniques and discover referenced issues. When the referenced issues are resolved, developers will be notified by FixMe bot. The evaluation conducted with 11 participants shows that our FixMe bot can support them in dealing with On-hold SATD. FixMe is available at https://www.fixmebot.app/ and FixMe's VDO is at https://youtu.be/YSz9kFxN_YQ.",2643-1572,978-1-6654-0337-5,10.1109/ASE51524.2021.9678680,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678680,,Computer science;Codes;Filtering;Machine learning;Software;Usability;Monitoring,,4.0,,10.0,IEEE,20 Jan 2022,,,IEEE,IEEE Conferences
31,Analysis ChatGPT Potential: Transforming Software Development with AI Chat Bots,J. W. Purwoko; T. Abdullah; B. Wijaya; A. A. Santoso Gunawan; K. E. Saputra,"Department School of Computer Science, Computer Science, Bina Nusantara University, Jakarta, Indonesia; Department School of Computer Science, Computer Science, Bina Nusantara University, Jakarta, Indonesia; Department School of Computer Science, Computer Science, Bina Nusantara University, Jakarta, Indonesia; Department School of Computer Science, Computer Science, Bina Nusantara University, Jakarta, Indonesia; Department School of Computer Science, Computer Science, Bina Nusantara University, Jakarta, Indonesia","2023 International Conference on Networking, Electrical Engineering, Computer Science, and Technology (IConNECT)",27 Nov 2023,2023,,,36,41,"Artificial intelligence (AI) is a technology that is constantly evolving and is being applied more frequently in many facets of society, including product and service development. Chatbots, which are computer programs that can connect with people through chat or voice apps, are one sort of AI that is evolving quickly. However, there is still much debate among scientists and professionals about whether AI advancements like ChatGPT can help software engineers with their daily tasks or even replace the work of software engineers. So, on this occasion, we conduct research on whether AI (artificial intelligence) is capable of helping software engineers and how far AI can assist software engineers. In this study, we aim to evaluate the effectiveness of ChatGPT as an AI tool for code retrieval and its potential to help or replace software engineers. Our research methodology involves using ChatGPT to refactor provided code and make a simple application from scratch. The results of this research show that AI chatbot models like ChatGPT cannot replace software developers 100",,979-8-3503-3117-2,10.1109/IConNECT56593.2023.10327087,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10327087,Artificial Intelligent;Software Development;Chat Bot,Codes;Computational modeling;Training data;Programming;Chatbots;Software;Security,,,,27.0,IEEE,27 Nov 2023,,,IEEE,IEEE Conferences
32,Guidelines for Developing Bots for GitHub,M. Wessel; A. Zaidman; M. A. Gerosa; I. Steinmacher,"Department of Software Science, Radboud University, Nijmegen, The Netherlands; Software Engineering, Delft University of Technology, Delft, The Netherlands; Professor, Northern Arizona University, Flagstaff, AZ, USA; School of Informatics, Computing, and Cyber Systems, Northern Arizona University, Flagstaff, AZ, USA",IEEE Software,26 Apr 2023,2023,40.0,3.0,72,79,"Projects on GitHub rely on the automation provided by software development bots. Nevertheless, the presence of bots can be annoying and disruptive to the community. Backed by multiple studies with practitioners, this article provides guidelines for developing and maintaining software bots.",1937-4194,,10.1109/MS.2022.3224813,"CNPq(grant numbers:141222/2018-2,314174/2020-6,313067/2020-1); National Science Foundation(grant numbers:1815503,1900903); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9976032,,Chatbots;Guidelines;Software development management;Codes;Task analysis;Prototypes;Computer applications,,4.0,,10.0,IEEE,8 Dec 2022,,,IEEE,IEEE Magazines
33,"Expecting the Unexpected: Distilling Bot Development, Challenges, and Motivations",A. M. Pinheiro; C. S. Rabello; L. B. Furtado; G. Pinto; C. R. B. de Souza,"Federal University of Pará, Belém, Brazil; Federal University of Pará, Belém, Brazil; Federal University of Pará, Belém, Brazil; Federal University of Pará, Belém, Brazil; Federal University of Pará, Belém, Brazil",2019 IEEE/ACM 12th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE),29 Aug 2019,2019,,,51,52,"Software bots are becoming an increasingly popular tool in the software development landscape, which is particularly due to their potential of use in several different contexts. More importantly, software developers interested in transitioning to bot development may have to face challenges intrinsic related to bot software development. However, so far, it is still unclear what is the profile of bot developers, what motivate them, or what challenges do they face when dealing with bot development. To shed an initial light on this direction, we conducted a survey with 43 Github users who have been involved (showing their interest or actively contributing to) in bot software projects.",2574-1837,978-1-7281-2239-7,10.1109/CHASE.2019.00021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8817003,software engineering;security;discourse;natural language processing,Bot (Internet);Software;Tools;Face;Employment;Meteorology;Task analysis,,1.0,,5.0,IEEE,29 Aug 2019,,,IEEE,IEEE Conferences
34,Autonomy Is An Acquired Taste: Exploring Developer Preferences for GitHub Bots,A. Ghorbani; N. Cassee; D. Robinson; A. Alami; N. A. Ernst; A. Serebrenik; A. Wąsowski,"University of Victoria, Canada; University of Victoria, Canada; University of Victoria, Canada; Aalborg University, Denmark; University of Victoria, Canada; Eindhoven University of Technology, The Netherlands; IT University of Copenhagen, Denmark",2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),14 Jul 2023,2023,,,1405,1417,"Software bots fulfill an important role in collective software development, and their adoption by developers promises increased productivity. Past research has identified that bots that communicate too often can irritate developers, which affects the utility of the bot. However, it is not clear what other properties of human-bot collaboration affect developers' preferences, or what impact these properties might have. The main idea of this paper is to explore characteristics affecting developer preferences for interactions between humans and bots, in the context of GitHub pull requests. We carried out an exploratory sequential study with interviews and a subsequent vignette-based survey. We find developers generally prefer bots that are personable but show little autonomy, however, more experienced developers tend to prefer more autonomous bots. Based on this empirical evidence, we recommend bot developers increase configuration options for bots so that individual developers and projects can configure bots to best align with their own preferences and project cultures.",1558-1225,978-1-6654-5701-9,10.1109/ICSE48619.2023.00123,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10172895,Software Bot;Pull Request;Human Aspects,Surveys;Productivity;Collaboration;Chatbots;Software;Interviews;Software development management,,1.0,,55.0,IEEE,14 Jul 2023,,,IEEE,IEEE Conferences
35,How Does Bot Affect Developer’s Sentiment: An Empirical Study on GitHub Issues and PRs,A. Gao; Y. Zhang; T. Wang; S. Chen; J. Deng,"National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China; National University of Defense Technology, Changsha, China","2022 IEEE Smartworld, Ubiquitous Intelligence & Computing, Scalable Computing & Communications, Digital Twin, Privacy Computing, Metaverse, Autonomous & Trusted Vehicles (SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Meta)",27 Jul 2023,2022,,,1856,1861,"Software bots act as assistants to help developers in GitHub issues and pull requests (PRs) solution. In this paper, we explore whether software bots affect developer’s sentiment through an empirical study. We find that developers express more neutral sentiment in bot-involved projects and have more positive sentiment in bot-involved issues and PRs. Further, we find developers are less positive in issues and PRs created by bots. To Figure out how developer’s sentiment looks like when mention bots, we use a combination of quantitative and qualitative analyses to explore the different sentiment of developers toward bots and explain the reasons.",,979-8-3503-4655-8,10.1109/SmartWorld-UIC-ATC-ScalCom-DigitalTwin-PriComp-Metaverse56740.2022.00268,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10189701,Bot;Software Engineering;Sentiment Analysis,Collaboration;Chatbots;Software;Software development management,,1.0,,19.0,IEEE,27 Jul 2023,,,IEEE,IEEE Conferences
36,From Specialized Mechanics to Project Butlers: The Usage of Bots in Open Source Software Development,Z. Wang; Y. Wang; D. Redmiles,"University of California, Irvine; University of Posts and Telecommunications, Beijing; University of California, Irvine",IEEE Software,23 Aug 2022,2022,39.0,5.0,38,43,We seek to identify how open source software (OSS) projects adopt bot services from a diverse set of selections. Our empirical research examines bot usage in the most popular OSS repositories in GitHub.,1937-4194,,10.1109/MS.2022.3180297,National Natural Science Foundation of China(grant numbers:62172049); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9789275,,Software development management;Bot (Internet);Task analysis;Software;Codes;Automation;Protocols,,5.0,,11.0,CCBY,6 Jun 2022,,,IEEE,IEEE Magazines
37,Automating Dependency Updates in Practice: An Exploratory Study on GitHub Dependabot,R. He; H. He; Y. Zhang; M. Zhou,"School of Computer Science, Peking University, Beijing, China; School of Computer Science, Peking University, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science, Peking University, Beijing, China",IEEE Transactions on Software Engineering,14 Aug 2023,2023,49.0,8.0,4004,4022,"Dependency management bots automatically open pull requests to update software dependencies on behalf of developers. Early research shows that developers are suspicious of updates performed by dependency management bots and feel tired of overwhelming notifications from these bots. Despite this, dependency management bots are becoming increasingly popular. Such contrast motivates us to investigate Dependabot, currently the most visible bot on GitHub, to reveal the effectiveness and limitations of state-of-art dependency management bots. We use exploratory data analysis and a developer survey to evaluate the effectiveness of Dependabot in keeping dependencies up-to-date, interacting with developers, reducing update suspicion, and reducing notification fatigue. We obtain mixed findings. On the positive side, projects do reduce technical lag after Dependabot adoption and developers are highly receptive to its pull requests. On the negative side, its compatibility scores are too scarce to be effective in reducing update suspicion; developers tend to configure Dependabot toward reducing the number of notifications; and 11.3% of projects have deprecated Dependabot in favor of other alternatives. The survey confirms our findings and provides insights into the key missing features of Dependabot. Based on our findings, we derive and summarize the key characteristics of an ideal dependency management bot which can be grouped into four dimensions: configurability, autonomy, transparency, and self-adaptability.",1939-3520,,10.1109/TSE.2023.3278129,National Key R&D Program of China; National Natural Science Foundation of China(grant numbers:61825201); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10130588,Dependabot;dependency management;mining software repositories;software engineering bot,Chatbots;Software development management;Software;Software engineering;Security;Fatigue;Surveys,,6.0,,112.0,IEEE,22 May 2023,,,IEEE,IEEE Journals
38,RefBot: Intelligent Software Refactoring Bot,V. Alizadeh; M. A. Ouali; M. Kessentini; M. Chater,"Software Engineering Intelligence Lab, University of Michigan, USA; Software Engineering Intelligence Lab, University of Michigan, USA; Software Engineering Intelligence Lab, University of Michigan, USA; Software Engineering Intelligence Lab, University of Michigan, USA",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),9 Jan 2020,2019,,,823,834,"The adoption of refactoring techniques for continuous integration received much less attention from the research community comparing to root-canal refactoring to fix the quality issues in the whole system. Several recent empirical studies show that developers, in practice, are applying refactoring incrementally when they are fixing bugs or adding new features. There is an urgent need for refactoring tools that can support continuous integration and some recent development processes such as DevOps that are based on rapid releases. Furthermore, several studies show that manual refactoring is expensive and existing automated refactoring tools are challenging to configure and integrate into the development pipelines with significant disruption cost. In this paper, we propose, for the first time, an intelligent software refactoring bot, called RefBot. Integrated into the version control system (e.g. GitHub), our bot continuously monitors the software repository, and it is triggered by any ""open"" or ""merge"" action on pull requests. The bot analyzes the files changed during that pull request to identify refactoring opportunities using a set of quality attributes then it will find the best sequence of refactorings to fix the quality issues if any. The bot recommends all these refactorings through an automatically generated pull-request. The developer can review the recommendations and their impacts in a detailed report and select the code changes that he wants to keep or ignore. After this review, the developer can close and approve the merge of the bot's pull request. We quantitatively and qualitatively evaluated the performance and effectiveness of RefBot by a survey conducted with experienced developers who used the bot on both open source and industry projects.",2643-1572,978-1-7281-2508-4,10.1109/ASE.2019.00081,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952287,Software bot;refactoring;Software quality,Software;Tools;Bot (Internet);Measurement;Manuals;Pipelines;Object oriented modeling,,23.0,,49.0,IEEE,9 Jan 2020,,,IEEE,IEEE Conferences
